2024-12-30 08:28:49,360 - lightrag - INFO - Logger initialized for working directory: ./dickens1
2024-12-30 08:28:49,360 - lightrag - INFO - Load KV llm_response_cache with 0 data
2024-12-30 08:28:49,361 - lightrag - INFO - Load KV full_docs with 0 data
2024-12-30 08:28:49,361 - lightrag - INFO - Load KV text_chunks with 0 data
2024-12-30 08:28:50,459 - lightrag - INFO - [New Docs] inserting 38 docs
2024-12-30 08:28:51,035 - lightrag - INFO - [New Chunks] inserting 66 chunks
2024-12-30 08:28:51,036 - lightrag - INFO - Inserting 66 vectors to chunks
2024-12-30 08:28:56,951 - lightrag - INFO - [Entity Extraction]...
2024-12-30 08:41:28,696 - lightrag - INFO - Inserting 3203 vectors to entities
2024-12-30 08:42:17,440 - lightrag - INFO - Inserting 4189 vectors to relationships
2024-12-30 08:43:13,251 - lightrag - INFO - [Entity Extraction Finish]...
2024-12-30 08:43:13,251 - lightrag - INFO - [Upsert Finish]...
2024-12-30 08:43:13,672 - lightrag - INFO - Writing graph with 3753 nodes, 4189 edges
2024-12-30 08:43:41,846 - lightrag - INFO - Logger initialized for working directory: ./dickens1
2024-12-30 08:43:41,858 - lightrag - INFO - Load KV llm_response_cache with 198 data
2024-12-30 08:43:41,861 - lightrag - INFO - Load KV full_docs with 38 data
2024-12-30 08:43:41,863 - lightrag - INFO - Load KV text_chunks with 66 data
2024-12-30 08:43:42,200 - lightrag - INFO - Loaded graph from ./dickens1/graph_chunk_entity_relation.graphml with 3753 nodes, 4189 edges
2024-12-30 08:43:44,749 - lightrag - INFO - Local query uses 240 entites, 284 relations, 0 text units
2024-12-30 08:43:45,020 - lightrag - INFO - Global query uses 1 entites, 180 relations, 1 text units
2024-12-30 08:43:56,384 - lightrag - INFO - Local query uses 300 entites, 285 relations, 0 text units
2024-12-30 08:43:56,693 - lightrag - INFO - Global query uses 4 entites, 180 relations, 1 text units
2024-12-30 08:44:13,143 - lightrag - INFO - Local query uses 240 entites, 248 relations, 1 text units
2024-12-30 08:44:13,283 - lightrag - INFO - Global query uses 4 entites, 120 relations, 1 text units
2024-12-30 08:44:25,181 - lightrag - INFO - Local query uses 120 entites, 202 relations, 0 text units
2024-12-30 08:44:25,399 - lightrag - INFO - Global query uses 5 entites, 120 relations, 1 text units
2024-12-30 08:44:33,894 - lightrag - INFO - Local query uses 180 entites, 104 relations, 0 text units
2024-12-30 08:44:34,240 - lightrag - INFO - Global query uses 1 entites, 180 relations, 1 text units
2024-12-30 08:44:40,881 - lightrag - INFO - Local query uses 180 entites, 249 relations, 0 text units
2024-12-30 08:44:41,236 - lightrag - INFO - Global query uses 1 entites, 180 relations, 1 text units
2024-12-30 08:45:00,466 - lightrag - INFO - Local query uses 300 entites, 248 relations, 0 text units
2024-12-30 08:45:00,678 - lightrag - INFO - Global query uses 72 entites, 180 relations, 0 text units
2024-12-30 08:46:28,797 - lightrag - INFO - Local query uses 300 entites, 276 relations, 0 text units
2024-12-30 08:46:29,116 - lightrag - INFO - Global query uses 4 entites, 180 relations, 1 text units
2024-12-30 08:46:44,672 - lightrag - INFO - Local query uses 300 entites, 261 relations, 0 text units
2024-12-30 08:46:44,971 - lightrag - INFO - Global query uses 5 entites, 180 relations, 0 text units
2024-12-30 08:47:01,488 - lightrag - INFO - Local query uses 300 entites, 279 relations, 0 text units
2024-12-30 08:47:01,742 - lightrag - INFO - Global query uses 4 entites, 180 relations, 1 text units
2024-12-30 08:47:17,848 - lightrag - INFO - Local query uses 300 entites, 261 relations, 0 text units
2024-12-30 08:47:18,322 - lightrag - INFO - Global query uses 77 entites, 180 relations, 0 text units
2024-12-30 08:47:32,087 - lightrag - INFO - Local query uses 120 entites, 258 relations, 0 text units
2024-12-30 08:47:32,447 - lightrag - INFO - Global query uses 6 entites, 180 relations, 1 text units
2024-12-30 08:47:52,034 - lightrag - INFO - Local query uses 180 entites, 236 relations, 0 text units
2024-12-30 08:47:52,284 - lightrag - INFO - Global query uses 2 entites, 180 relations, 0 text units
2024-12-30 08:48:00,632 - lightrag - INFO - Local query uses 180 entites, 234 relations, 0 text units
2024-12-30 08:48:00,843 - lightrag - INFO - Global query uses 4 entites, 180 relations, 1 text units
2024-12-30 08:48:25,204 - lightrag - INFO - Local query uses 180 entites, 281 relations, 0 text units
2024-12-30 08:48:25,479 - lightrag - INFO - Global query uses 1 entites, 180 relations, 1 text units
2024-12-30 08:48:36,146 - lightrag - INFO - Local query uses 180 entites, 253 relations, 1 text units
2024-12-30 08:48:36,436 - lightrag - INFO - Global query uses 5 entites, 180 relations, 1 text units
2024-12-30 08:48:51,192 - lightrag - INFO - Local query uses 120 entites, 132 relations, 0 text units
2024-12-30 08:48:51,408 - lightrag - INFO - Global query uses 7 entites, 180 relations, 1 text units
2024-12-30 08:49:05,499 - lightrag - INFO - Local query uses 300 entites, 261 relations, 0 text units
2024-12-30 08:49:05,897 - lightrag - INFO - Global query uses 15 entites, 180 relations, 1 text units
2024-12-30 08:49:32,008 - lightrag - INFO - Local query uses 300 entites, 261 relations, 0 text units
2024-12-30 08:49:32,269 - lightrag - INFO - Global query uses 5 entites, 180 relations, 1 text units
2024-12-30 08:49:44,916 - lightrag - INFO - Local query uses 300 entites, 253 relations, 0 text units
2024-12-30 08:49:45,145 - lightrag - INFO - Global query uses 5 entites, 180 relations, 1 text units
2024-12-30 08:50:04,886 - lightrag - INFO - Local query uses 300 entites, 160 relations, 1 text units
2024-12-30 08:50:05,179 - lightrag - INFO - Global query uses 1 entites, 180 relations, 1 text units
2024-12-30 08:50:22,140 - lightrag - INFO - Local query uses 300 entites, 277 relations, 1 text units
2024-12-30 08:50:22,389 - lightrag - INFO - Global query uses 5 entites, 180 relations, 1 text units
2024-12-30 08:50:51,052 - lightrag - INFO - Local query uses 300 entites, 266 relations, 0 text units
2024-12-30 08:50:51,376 - lightrag - INFO - Global query uses 4 entites, 180 relations, 1 text units
2024-12-30 08:51:07,815 - lightrag - INFO - Local query uses 300 entites, 264 relations, 0 text units
2024-12-30 08:51:08,093 - lightrag - INFO - Global query uses 3 entites, 180 relations, 0 text units
2024-12-30 08:51:22,450 - lightrag - INFO - Local query uses 300 entites, 258 relations, 0 text units
2024-12-30 08:51:22,685 - lightrag - INFO - Global query uses 5 entites, 180 relations, 1 text units
2024-12-30 08:51:37,057 - lightrag - INFO - Local query uses 300 entites, 281 relations, 0 text units
2024-12-30 08:51:37,315 - lightrag - INFO - Global query uses 4 entites, 180 relations, 1 text units
2024-12-30 08:54:04,479 - lightrag - INFO - Local query uses 300 entites, 276 relations, 0 text units
2024-12-30 08:54:04,765 - lightrag - INFO - Global query uses 4 entites, 180 relations, 1 text units
2024-12-30 08:54:27,970 - lightrag - INFO - Local query uses 300 entites, 266 relations, 0 text units
2024-12-30 08:54:28,272 - lightrag - INFO - Global query uses 5 entites, 180 relations, 1 text units
2024-12-30 08:56:15,900 - lightrag - INFO - Local query uses 120 entites, 197 relations, 0 text units
2024-12-30 08:56:16,198 - lightrag - INFO - Global query uses 19 entites, 180 relations, 0 text units
2024-12-30 08:56:48,147 - lightrag - INFO - Local query uses 300 entites, 257 relations, 0 text units
2024-12-30 08:56:48,334 - lightrag - INFO - Global query uses 11 entites, 180 relations, 0 text units
2024-12-30 08:57:28,887 - lightrag - INFO - Local query uses 300 entites, 279 relations, 0 text units
2024-12-30 08:57:29,217 - lightrag - INFO - Global query uses 15 entites, 180 relations, 0 text units
2024-12-30 08:58:24,063 - lightrag - INFO - Local query uses 300 entites, 280 relations, 0 text units
2024-12-30 08:58:24,382 - lightrag - INFO - Global query uses 20 entites, 180 relations, 2 text units
2024-12-30 08:58:58,057 - lightrag - INFO - Local query uses 300 entites, 253 relations, 0 text units
2024-12-30 08:58:58,292 - lightrag - INFO - Global query uses 6 entites, 180 relations, 1 text units
2024-12-30 08:59:39,852 - lightrag - INFO - Local query uses 300 entites, 266 relations, 0 text units
2024-12-30 08:59:40,157 - lightrag - INFO - Global query uses 3 entites, 180 relations, 0 text units
2024-12-30 08:59:54,202 - lightrag - INFO - Local query uses 300 entites, 269 relations, 0 text units
2024-12-30 08:59:54,534 - lightrag - INFO - Global query uses 15 entites, 180 relations, 1 text units
2024-12-30 09:00:21,246 - lightrag - INFO - Local query uses 300 entites, 250 relations, 0 text units
