id,entity,type,description,rank
1,小学,组织名称,小学是社区的重要组成部分，通常位于村庄或城市综合体中。它不仅是村里的重要设施，也是中山大学深圳附属学校的一部分。在合水口村和薯田埔社区等地，小学的存在为当地居民提供了教育资源。此外，小学被描述为公办学校的一部分，并且乐学乐考成效显著，显示出其在教育领域的积极影响。全村范围内普遍设有小学，而城市综合体也常常包括小学设施。这些小学不仅为孩子们提供了学习环境，而且在社会和社区发展中扮演着关键角色。,14
2,小学部,组织名称,"""{time: ""y2023m07d10"", place: ""公明镇"", event: ""华茂实验学校设有小学部"", other: """"}""<SEP>""{time: ""y2023m07d10"", place: ""公明镇"", event: ""华茂实验学校设有小学部"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""小学部是学校的一个部门"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""小学部是学校的一个部门"", other: """"}""",0
3,12所小学,人数,"""{time: ""未知"", place: ""公明"", event: ""公明有12所小学"", other: """"}""<SEP>""{time: ""未知"", place: ""公明"", event: ""公明有12所小学"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""2004年全镇有12所小学"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""2004年全镇有12所小学"", other: """"}""",2
4,中小学生,组织名称,"""{time: ""y未知"", place: ""未知"", event: ""中小学生参与文化活动"", other: """"}""<SEP>""{time: ""y未知"", place: ""未知"", event: ""中小学生参与文化活动"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""中小学生"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""中小学生"", other: """"}""",2
5,公办学校,组织名称,"""{time: ""未知"", place: ""未知"", event: ""公办学校包括中学、小学、幼儿园和成校"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""公办学校包括中学、小学、幼儿园和成校"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""公办学校数量为5所"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""公办学校是教职工的一部分"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""公办学校数量为5所"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""公办学校是教职工的一部分"", other: """"}""",11
6,光明小学,事件,"""{time: ""未知"", place: ""光明"", event: ""光明小学是优质中小学资源之一"", other: """"}""<SEP>""{time: ""未知"", place: ""光明"", event: ""光明小学是优质中小学资源之一"", other: """"}""<SEP>""{time: ""未知"", place: ""光明社区"", event: ""光明社区教育设施中的光明小学"", other: """"}""<SEP>""{time: ""未知"", place: ""光明社区"", event: ""光明社区教育设施中的光明小学"", other: """"}""",2
7,小学高级教师,个人姓名,"""{time: ""y2004"", place: ""未知"", event: ""2004年有小学高级教师"", other: """"}""<SEP>""{time: ""y2004"", place: ""未知"", event: ""2004年有小学高级教师"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校有小学高级教师"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校有小学高级教师"", other: """"}""",1
8,小学乐学乐考,事件,"""{time: ""未知"", place: ""未知"", event: ""小学乐学乐考成效显著"", other: """"}""",1
9,"小学,初中,高中教育",事件,"""{time: ""未知"", place: ""深圳市光明区"", event: ""深圳市光明书院提供小学、初中、高中教育"", other: """"}""",1
10,小学一所,组织名称,"""{place: ""薯田埔村"", event: ""小学一所位于薯田埔村"", other: """"}""",2
11,小学一级教师,个人姓名,"""{time: ""y2004"", place: ""未知"", event: ""2004年有小学一级教师"", other: """"}""<SEP>""{time: ""y2004"", place: ""未知"", event: ""2004年有小学一级教师"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校有小学一级教师"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校有小学一级教师"", other: """"}""",1
12,楼村小学,组织名称,"楼村小学是一所历史悠久的教育机构，其创办可追溯至1938年春季，当时学校位于陈美祖公祠。在1949年10月30日，楼村小学在公明地区复课。随后，在1959年，学校迁至仿裕公祠，并正式更名为楼村小学。进入60年代初期，楼村小学成为公明地区的一所重要小学。2002年，楼村小学被评为市一级学校，标志着学校教育质量的提升。学校位于光明区，并在公明镇通过市一级学校评估。此外，楼村小学曾是其他学校的借址地点。<SEP>""{time: '未知', place: '光明区', event: '存在', other: '组织描述'}""",28
13,小学教研室,组织名称,"""{time: ""y1996"", place: ""未知"", event: ""设立小学教研室"", other: """"}""",6
14,合水口小学,组织名称,"""{time: ""y1945"", place: ""公明圩旧街"", event: ""合水口小学是公明中心小学的前身"", other: """"}""<SEP>""{time: ""y1945"", place: ""公明圩旧街"", event: ""合水口小学是公明中心小学的前身"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""合水口小学是中心小学的前身"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""合水口小学是中心小学的前身"", other: """"}""",1
15,全国、省、市、区、镇小学生英语竞赛,事件,"""{time: ""未知"", place: ""未知"", event: ""全国、省、市、区、镇小学生英语竞赛是学校参与的竞赛"", other: """"}""",2
16,公明民办学校,组织名称,"""{time: ""未知"", place: ""公明镇"", event: ""公明民办学校是民办学校之一"", other: """"}""<SEP>""{time: ""未知"", place: ""公明镇"", event: ""公明民办学校是民办学校之一"", other: """"}""<SEP>""{time: ""未知"", place: ""公明镇"", event: ""公明民办学校表现出特点"", other: ""起步晚、速度快、收费低、校舍档次高、管理比较规范、发展相对稳定健康""}""<SEP>""{time: ""未知"", place: ""公明镇"", event: ""公明民办学校表现出特点"", other: ""起步晚、速度快、收费低、校舍档次高、管理比较规范、发展相对稳定健康""}""",27
17,小学项目,组织名称,"""{time: ""未知"", place: ""未知"", event: ""小学项目占地面积4万平方米，总建筑面积8.47万平方米，办学规模为84个班"", other: """"}""",4
18,宝安第七届中专、中小学生田径运动会初中组总分第一名,事件,"""{time: ""y2000m11"", place: ""公明镇"", event: ""公明中学在宝安第七届中专、中小学生田径运动会初中组总分中获得第一名"", other: """"}""",1
19,小班,组织名称,"""{time: ""未知"", place: ""公明镇"", event: ""小班是幼儿园的一个班级"", other: """"}""<SEP>""{time: ""未知"", place: ""公明镇"", event: ""小班是幼儿园的一个班级"", other: """"}""<SEP>""{time: ""未知"", place: ""深圳市光明区新湖新星幼儿园"", event: ""小班是幼儿园的一个班级"", other: """"}""<SEP>""{time: ""未知"", place: ""深圳市光明区新湖新星幼儿园"", event: ""小班是幼儿园的一个班级"", other: """"}""",1
20,中山大学深圳附属学校——小学足球场,组织名称,"""{time: ""未知"", place: ""未知"", event: ""中山大学深圳附属学校拥有小学足球场"", other: """"}""",0
21,513人小学一所,人数,"""{place: ""薯田埔村"", event: ""小学一所的学生人数"", other: """"}""",1
22,适龄儿童,组织名称,"""{time: ""未知"", place: ""未知"", event: ""适龄儿童是全镇公办学校的一部分"", other: """"}""",2
23,幼儿部、小学部、初中部,组织名称,"""{time: ""y2023m07d10"", place: ""公明镇"", event: ""华茂实验学校设有幼儿部、小学部、初中部"", other: """"}""",0
24,小型足球场,地理位置,"""{time: ""未知"", place: ""未知"", event: ""学校有1个小型足球场"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校有1个小型足球场"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""建设小型足球场"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""建设小型足球场"", other: """"}""",6
25,公明中心小学,组织名称,"""{time: ""y1945"", place: ""公明圩旧街"", event: ""公明中心小学成立"", other: """"}""<SEP>""{time: ""y1945"", place: ""公明圩旧街"", event: ""公明中心小学成立"", other: """"}""<SEP>""{time: ""y1960"", place: ""公明"", event: ""公明中心小学是60年代初期公明的一所小学"", other: """"}""<SEP>""{time: ""y2002"", place: ""未知"", event: ""公明中心小学创建市一级学校已完成功能楼和科学楼主体工程"", other: """"}""<SEP>""{time: ""未知"", place: ""公明粮所"", event: ""公明中心小学是东宝中学的隶属单位"", other: """"}""<SEP>""{time: ""未知"", place: ""公明镇"", event: ""公明中心小学通过省一级学校评估"", other: """"}""<SEP>""{time: ""y1960"", place: ""公明"", event: ""公明中心小学是60年代初期公明的一所小学"", other: """"}""<SEP>""{time: ""y2002"", place: ""未知"", event: ""公明中心小学创建市一级学校已完成功能楼和科学楼主体工程"", other: """"}""<SEP>""{time: ""未知"", place: ""公明粮所"", event: ""公明中心小学是东宝中学的隶属单位"", other: """"}""<SEP>""{time: ""未知"", place: ""公明镇"", event: ""公明中心小学通过省一级学校评估"", other: """"}""",20
